# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458354.1378784       1.0099849       0.0009421            nan   3360.8240590      3.1348005   3327.5982526
2458354.1586914       1.0091112       0.0009419            nan   3357.9166566      3.1343284   3327.5982526
2458354.1795044       1.0084610       0.0009417            nan   3355.7532259      3.1336652   3327.5982526
2458354.2003784       1.0085032       0.0009418            nan   3355.8935424      3.1337929   3327.5982526
2458354.2211914       1.0109198       0.0009421            nan   3363.9350222      3.1348622   3327.5982526
2458354.2420044       1.0084030       0.0009416            nan   3355.5602156      3.1333235   3327.5982526
2458354.2628784       1.0082757       0.0009416            nan   3355.1365138      3.1333870   3327.5982526
2458354.2836914       1.0082184       0.0009417            nan   3354.9459413      3.1335829   3327.5982526
2458354.3045044       1.0098441       0.0009418            nan   3360.3555980      3.1340283   3327.5982526
2458354.3253784       1.0096695       0.0009416            nan   3359.7745058      3.1332890   3327.5982526
2458354.3461914       1.0076806       0.0009414            nan   3353.1560424      3.1326478   3327.5982526
2458354.3670044       1.0105973       0.0009417            nan   3362.8618043      3.1337321   3327.5982526
2458354.3878784       1.0064118       0.0009412            nan   3348.9340971      3.1318473   3327.5982526
2458354.4086914       1.0101972       0.0009417            nan   3361.5304183      3.1337494   3327.5982526
2458354.4295044       1.0082089       0.0009414            nan   3354.9143337      3.1326354   3327.5982526
2458354.4503784       1.0087946       0.0009414            nan   3356.8630329      3.1327267   3327.5982526
2458354.4711914       1.0082926       0.0009414            nan   3355.1928070      3.1325424   3327.5982526
2458354.4920044       1.0097395       0.0009418            nan   3360.0073001      3.1339686   3327.5982526
2458354.5128784       1.0077069       0.0009413            nan   3353.2436973      3.1323906   3327.5982526
2458354.5336914       1.0093168       0.0009415            nan   3358.6006606      3.1328975   3327.5982526
2458354.5545044       1.0097121       0.0009415            nan   3359.9162169      3.1329237   3327.5982526
2458354.5753784       1.0071458       0.0009412            nan   3351.3767666      3.1319578   3327.5982526
2458354.5961914       1.0073307       0.0009412            nan   3351.9917119      3.1318902   3327.5982526
2458354.6170044       1.0081223       0.0009413            nan   3354.6261167      3.1323340   3327.5982526
2458354.6378784       1.0066223       0.0009411            nan   3349.6346482      3.1315202   3327.5982526
2458354.6586914       1.0065860       0.0009410            nan   3349.5139736      3.1314084   3327.5982526
2458354.6795044       1.0061090       0.0009410            nan   3347.9266635      3.1314017   3327.5982526
2458354.7003784       1.0049721       0.0009408            nan   3344.1433443      3.1304913   3327.5982526
2458354.7211914       1.0079062       0.0009411            nan   3353.9070415      3.1315989   3327.5982526
2458354.7420044       1.0069271       0.0009410            nan   3350.6487033      3.1312665   3327.5982526
2458354.7628784       1.0070396       0.0009410            nan   3351.0232720      3.1314010   3327.5982526
2458354.7836914       1.0075273       0.0009411            nan   3352.6460447      3.1315394   3327.5982526
2458354.8045044       1.0078791       0.0009413            nan   3353.8165658      3.1322995   3327.5982526
2458354.8253784       1.0069983       0.0009412            nan   3350.8859054      3.1318111   3327.5982526
2458354.8461914       1.0061117       0.0009409            nan   3347.9354429      3.1309708   3327.5982526
2458354.8670044       1.0078954       0.0009412            nan   3353.8708924      3.1317870   3327.5982526
2458354.8878784       1.0047273       0.0009408            nan   3343.3288508      3.1307690   3327.5982526
2458354.9086914       1.0074553       0.0009412            nan   3352.4064284      3.1319641   3327.5982526
2458354.9295044       1.0061352       0.0009409            nan   3348.0138040      3.1310121   3327.5982526
2458354.9503784       1.0068767       0.0009410            nan   3350.4810958      3.1313013   3327.5982526
2458354.9711914       1.0059980       0.0009409            nan   3347.5571985      3.1310729   3327.5982526
2458354.9920044       1.0067956       0.0009410            nan   3350.2113020      3.1314095   3327.5982526
2458355.0128784       1.0046396       0.0009407            nan   3343.0369028      3.1301614   3327.5982526
2458355.0336914       1.0056804       0.0009407            nan   3346.5004491      3.1301679   3327.5982526
2458355.0545044       1.0040728       0.0009407            nan   3341.1510611      3.1303773   3327.5982526
2458355.0753784       1.0055800       0.0009409            nan   3346.1663087      3.1310808   3327.5982526
2458355.0961914       1.0061021       0.0009409            nan   3347.9036740      3.1309517   3327.5982526
2458355.1170044       1.0052665       0.0009406            nan   3345.1230730      3.1298751   3327.5982526
2458355.1378784       1.0061826       0.0009409            nan   3348.1713379      3.1309100   3327.5982526
2458355.1586914       1.0037859       0.0009406            nan   3340.1961978      3.1300500   3327.5982526
2458355.1795044       1.0051476       0.0009407            nan   3344.7273990      3.1303373   3327.5982526
2458355.2003784       1.0045665       0.0009407            nan   3342.7938912      3.1304132   3327.5982526
2458355.2211914       1.0059104       0.0009409            nan   3347.2656034      3.1310022   3327.5982526
2458355.2420044       1.0036287       0.0009406            nan   3339.6731367      3.1299432   3327.5982526
2458355.2628784       1.0037255       0.0009405            nan   3339.9950828      3.1296110   3327.5982526
2458355.2836914       1.0041043       0.0009406            nan   3341.2557773      3.1300338   3327.5982526
2458355.3045044       1.0044036       0.0009406            nan   3342.2515559      3.1298700   3327.5982526
2458355.3253784       1.0049239       0.0009406            nan   3343.9830194      3.1299283   3327.5982526
2458355.3461914       1.0056436       0.0009408            nan   3346.3780272      3.1304997   3327.5982526
2458355.3670044       1.0036202       0.0009405            nan   3339.6449056      3.1295506   3327.5982526
2458355.3878784       1.0044659       0.0009406            nan   3342.4589949      3.1300746   3327.5982526
2458355.4086914       1.0047418       0.0009407            nan   3343.3771818      3.1303117   3327.5982526
2458355.4295044       1.0059362       0.0009408            nan   3347.3513970      3.1305722   3327.5982526
2458355.4503784       1.0044051       0.0009407            nan   3342.2565444      3.1301551   3327.5982526
2458355.4711914       1.0052560       0.0009409            nan   3345.0881673      3.1308329   3327.5982526
2458355.4920044       1.0061388       0.0009408            nan   3348.0256367      3.1306667   3327.5982526
2458355.5128784       1.0031759       0.0009404            nan   3338.1663891      3.1293824   3327.5982526
2458355.5336914       1.0045711       0.0009407            nan   3342.8091172      3.1301348   3327.5982526
2458355.5545044       1.0035820       0.0009405            nan   3339.5176710      3.1297279   3327.5982526
2458355.5753784       1.0049786       0.0009408            nan   3344.1650127      3.1306554   3327.5982526
2458355.5961914       1.0034355       0.0009404            nan   3339.0302092      3.1293927   3327.5982526
2458355.6170044       1.0036637       0.0009405            nan   3339.7896392      3.1297006   3327.5982526
2458355.6378784       1.0029583       0.0009404            nan   3337.4423409      3.1292994   3327.5982526
2458355.6586914       1.0047929       0.0009408            nan   3343.5470771      3.1306129   3327.5982526
2458355.6795044       1.0032114       0.0009404            nan   3338.2845973      3.1292365   3327.5982526
2458355.7003784       1.0030912       0.0009405            nan   3337.8844451      3.1296156   3327.5982526
2458355.7211914       1.0044522       0.0009407            nan   3342.4133983      3.1304194   3327.5982526
2458355.7420044       1.0026936       0.0009405            nan   3336.5615064      3.1294597   3327.5982526
2458355.7628784       1.0027483       0.0009405            nan   3336.7434559      3.1296422   3327.5982526
2458355.7836914       1.0015733       0.0009403            nan   3332.8336541      3.1289478   3327.5982526
2458355.8045044       1.0030430       0.0009404            nan   3337.7242835      3.1293952   3327.5982526
2458355.8253784       1.0043566       0.0009408            nan   3342.0952020      3.1306110   3327.5982526
2458355.8461914       1.0027519       0.0009405            nan   3336.7553080      3.1296378   3327.5982526
