# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458325.9503784       0.9992191       0.0010559            nan   3153.5798500      3.3326065   3156.0445295
2458325.9711914       0.9996657       0.0010558            nan   3154.9771665      3.3320222   3156.0323530
2458325.9920044       0.9973295       0.0010560            nan   3147.5970566      3.3326937   3156.0250898
2458326.0128784       0.9981278       0.0010573            nan   3150.1125593      3.3370048   3156.0212141
2458326.0336914       0.9971421       0.0010586            nan   3147.0016125      3.3409168   3156.0210615
2458326.0545044       1.0006160       0.0010594            nan   3157.9671451      3.3434667   3156.0231062
2458326.0753784       1.0022376       0.0010602            nan   3163.0876450      3.3459317   3156.0258528
2458326.0961914       0.9996395       0.0010604            nan   3154.8909919      3.3466543   3156.0286604
2458326.1170044       1.0000274       0.0010609            nan   3156.1159018      3.3483387   3156.0293623
2458326.1378784       0.9991308       0.0010609            nan   3153.2854571      3.3483690   3156.0287214
2458326.1586914       0.9992053       0.0010614            nan   3153.5185432      3.3496846   3156.0265852
2458326.1795044       1.0007211       0.0010617            nan   3158.2970906      3.3506837   3156.0213056
2458326.2003784       1.0000311       0.0010614            nan   3156.1107917      3.3496800   3156.0127302
2458326.2211914       0.9996459       0.0010612            nan   3154.8810337      3.3491487   3155.9987226
2458326.2420044       1.0005240       0.0010616            nan   3157.6322941      3.3504898   3155.9785810
2458326.2628784       1.0030100       0.0010618            nan   3165.4526252      3.3510306   3155.9532209
2458326.2836914       1.0000673       0.0010614            nan   3156.1329637      3.3496868   3155.9204756
2458326.3045044       0.9996459       0.0010617            nan   3154.7623595      3.3507256   3155.8800093
2458326.3253784       0.9999069       0.0010618            nan   3155.5392909      3.3508611   3155.8329512
2458326.3461914       1.0021473       0.0010629            nan   3162.5573699      3.3543617   3155.7809797
2458326.3670044       1.0005627       0.0010635            nan   3157.4979065      3.3562600   3155.7220808
2458326.3878784       0.9995144       0.0010639            nan   3154.1255394      3.3572352   3155.6578413
2458326.4086914       1.0013284       0.0010651            nan   3159.7823641      3.3609470   3155.5903669
2458326.4295044       0.9986988       0.0010654            nan   3151.4144574      3.3619151   3155.5204512
2458326.4503784       0.9987594       0.0010661            nan   3151.5336559      3.3640256   3155.4482771
2458326.4711914       0.9967714       0.0010666            nan   3145.1893090      3.3655178   3155.3767744
2458326.4920044       0.9995952       0.0010676            nan   3154.0286960      3.3687224   3155.3060346
2458326.5128784       0.9999954       0.0010688            nan   3155.2218261      3.3723222   3155.2364851
2458326.5336914       0.9988746       0.0010696            nan   3151.6175449      3.3748146   3155.1684309
2458326.5545044       1.0018264       0.0010712            nan   3160.8652787      3.3798165   3155.1026655
2458326.5753784       1.0017361       0.0010717            nan   3160.5159868      3.3813829   3155.0383955
2458326.5961914       0.9992634       0.0010720            nan   3152.6547445      3.3822870   3154.9788252
2458326.6170044       0.9990502       0.0010727            nan   3151.9249152      3.3842038   3154.9213301
2458326.6378784       0.9983402       0.0010730            nan   3149.6339149      3.3850371   3154.8703047
2458326.6586914       0.9984212       0.0010731            nan   3149.8437390      3.3853133   3154.8247114
2458326.6795044       0.9996075       0.0010722            nan   3153.5471527      3.3825779   3154.7855268
2458326.7003784       1.0008341       0.0010719            nan   3157.3835391      3.3815657   3154.7522016
2458326.7211914       0.9998008       0.0010714            nan   3154.0956048      3.3799984   3154.7241560
2458326.7420044       0.9986254       0.0010709            nan   3150.3639848      3.3783663   3154.7004133
2458326.7628784       0.9977826       0.0010702            nan   3147.6857355      3.3761822   3154.6807905
2458326.7836914       1.0004717       0.0010706            nan   3156.1532314      3.3773759   3154.6652265
2458326.8045044       1.0012142       0.0010711            nan   3158.4817491      3.3788733   3154.6512190
2458326.8253784       0.9999681       0.0010715            nan   3154.5389374      3.3801083   3154.6397138
2458326.8461914       1.0005085       0.0010713            nan   3156.2346378      3.3795873   3154.6304670
2458326.8670044       0.9989576       0.0010707            nan   3151.3327090      3.3777810   3154.6212202
2458326.8878784       1.0018405       0.0010696            nan   3160.4207324      3.3742530   3154.6145979
2458326.9086914       0.9981077       0.0010678            nan   3148.6375811      3.3684583   3154.6070295
2458326.9295044       0.9991434       0.0010658            nan   3151.8986573      3.3623067   3154.6007734
2458326.9503784       1.0003510       0.0010642            nan   3155.7017474      3.3570835   3154.5945783
2458326.9711914       1.0014899       0.0010629            nan   3159.2886507      3.3529448   3154.5885969
2458326.9920044       1.0009716       0.0010620            nan   3157.6463463      3.3500259   3154.5813337
2458327.0128784       1.0004565       0.0010615            nan   3156.0120715      3.3484794   3154.5720869
2458327.0336914       0.9932790       0.0010602            nan   3133.3609933      3.3445952   3154.5626875
2458327.0545044       0.9851583       0.0010588            nan   3107.7329927      3.3399587   3154.5519758
2458327.0753784       0.9834557       0.0010593            nan   3102.3516692      3.3415990   3154.5414778
2458327.0961914       0.9810945       0.0010595            nan   3094.8923840      3.3421630   3154.5303083
2458327.1170044       0.9821256       0.0010599            nan   3098.1345692      3.3434000   3154.5198713
2458327.1378784       0.9820611       0.0010602            nan   3097.9222420      3.3445335   3154.5108381
2458327.1586914       0.9846300       0.0010606            nan   3106.0178587      3.3456429   3154.5024763
2458327.1795044       0.9977745       0.0010632            nan   3147.4762617      3.3538619   3154.4966474
2458327.2003784       0.9996055       0.0010628            nan   3153.2475047      3.3525152   3154.4918257
2458327.2211914       0.9991817       0.0010620            nan   3151.9088990      3.3501902   3154.4902998
2458327.2420044       1.0008608       0.0010616            nan   3157.2058335      3.3486571   3154.4905134
2458327.2628784       0.9998239       0.0010597            nan   3153.9389482      3.3428067   3154.4946028
2458327.2836914       1.0007573       0.0010578            nan   3156.8898835      3.3369446   3154.5009199
2458327.3045044       0.9986272       0.0010564            nan   3150.1804791      3.3325119   3154.5110517
2458327.3253784       0.9992928       0.0010564            nan   3152.2937447      3.3323603   3154.5247236
2458327.3461914       0.9986952       0.0010560            nan   3150.4258520      3.3312017   3154.5418745
2458327.3670044       1.0014280       0.0010563            nan   3159.0665143      3.3322035   3154.5617414
2458327.3878784       0.9984788       0.0010560            nan   3149.7856974      3.3311927   3154.5844465
2458327.4086914       1.0009829       0.0010568            nan   3157.7104293      3.3337630   3154.6097456
2458327.4295044       1.0001382       0.0010581            nan   3155.0722079      3.3379452   3154.6362043
2458327.4503784       1.0007792       0.0010599            nan   3157.1228355      3.3437354   3154.6645857
2458327.4711914       1.0007272       0.0010605            nan   3156.9863599      3.3455316   3154.6923872
2458327.4920044       0.9984193       0.0010611            nan   3149.7344725      3.3475751   3154.7210737
2458327.5128784       1.0000587       0.0010628            nan   3154.9362452      3.3527957   3154.7511030
2458327.5336914       1.0005374       0.0010645            nan   3156.4759582      3.3582725   3154.7806440
2458327.5545044       0.9989330       0.0010658            nan   3151.4436359      3.3623492   3154.8099409
2458327.5753784       0.9986684       0.0010673            nan   3150.6379699      3.3672537   3154.8389326
2458327.5961914       1.0010943       0.0010688            nan   3158.3182119      3.3719211   3154.8657881
2458327.6170044       1.0007305       0.0010693            nan   3157.1976001      3.3734286   3154.8931013
2458327.6378784       1.0017277       0.0010694            nan   3160.3667305      3.3738556   3154.9159590
2458327.6586914       0.9988832       0.0010693            nan   3151.4122820      3.3735444   3154.9357344
2458327.6795044       0.9992099       0.0010692            nan   3152.4599609      3.3732210   3154.9527326
2458327.7003784       1.0020713       0.0010698            nan   3161.5011005      3.3750365   3154.9663435
2458327.7211914       0.9985003       0.0010695            nan   3150.2446940      3.3742492   3154.9761396
2458327.7420044       1.0005471       0.0010700            nan   3156.7087030      3.3759698   3154.9826704
2458327.7628784       0.9999237       0.0010702            nan   3154.7450372      3.3765444   3154.9856611
2458327.7836914       1.0006121       0.0010704            nan   3156.9159455      3.3771227   3154.9848066
2458327.8045044       0.9997272       0.0010705            nan   3154.1192678      3.3774390   3154.9798933
2458327.8253784       0.9999065       0.0010703            nan   3154.6765282      3.3768321   3154.9716535
2458327.8670044       0.9987749       0.0010696            nan   3151.0782667      3.3744238   3154.9432722
2458327.8878784       1.0012542       0.0010691            nan   3158.8809081      3.3729210   3154.9239546
2458327.9086914       0.9997989       0.0010682            nan   3154.2657671      3.3701260   3154.9003034
2458327.9295044       1.0000758       0.0010669            nan   3155.1115028      3.3657925   3154.8724104
2458327.9503784       1.0000508       0.0010656            nan   3155.0007781      3.3617738   3154.8405500
2458327.9711914       0.9994242       0.0010643            nan   3152.9883948      3.3575368   3154.8048139
2458327.9920044       0.9991462       0.0010636            nan   3152.0706007      3.3553603   3154.7641645
2458328.0128784       1.0014997       0.0010636            nan   3159.4498973      3.3552306   3154.7186628
2458328.0336914       0.9996997       0.0010631            nan   3153.7204136      3.3538486   3154.6677290
2458328.0545044       1.0014698       0.0010638            nan   3159.2494389      3.3557438   3154.6127058
2458328.0753784       1.0001552       0.0010645            nan   3155.0420493      3.3578638   3154.5524946
2458328.0961914       1.0017601       0.0010652            nan   3160.0392523      3.3602190   3154.4870954
2458328.1170044       1.0003585       0.0010658            nan   3155.5483401      3.3618465   3154.4176069
2458328.1378784       0.9996950       0.0010658            nan   3153.3834256      3.3619181   3154.3454328
2458328.1586914       1.0005530       0.0010663            nan   3156.0148718      3.3633243   3154.2705122
2458328.1795044       0.9992164       0.0010660            nan   3151.7244526      3.3624811   3154.1959272
2458328.2003784       0.9995214       0.0010659            nan   3152.6127933      3.3619775   3154.1223493
2458328.2211914       1.0006543       0.0010654            nan   3156.1141058      3.3603229   3154.0505110
2458328.2420044       0.9982527       0.0010648            nan   3148.4704375      3.3584322   3153.9812971
2458328.2628784       0.9996378       0.0010645            nan   3152.7736142      3.3572916   3153.9158674
2458328.2836914       0.9996359       0.0010642            nan   3152.7074907      3.3561857   3153.8558699
2458328.3045044       1.0002273       0.0010635            nan   3154.5164565      3.3540503   3153.7994429
2458328.3253784       0.9986672       0.0010628            nan   3149.5453938      3.3517730   3153.7486006
2458328.3461914       0.9991138       0.0010628            nan   3150.9102834      3.3517489   3153.7050215
2458328.3670044       0.9992858       0.0010629            nan   3151.4123352      3.3519211   3153.6645552
2458328.3878784       0.9999985       0.0010632            nan   3153.6247458      3.3530238   3153.6293379
2458328.4086914       1.0014156       0.0010636            nan   3158.0625338      3.3540159   3153.5984236
2458328.4295044       1.0001570       0.0010640            nan   3154.0657350      3.3554948   3153.5705610
2458328.4503784       0.9995372       0.0010644            nan   3152.0865149      3.3566683   3153.5459638
2458328.4711914       1.0025357       0.0010656            nan   3161.5200027      3.3604463   3153.5234724
2458328.4920044       1.0017384       0.0010663            nan   3158.9856380      3.3624770   3153.5034529
2458328.5128784       0.9998211       0.0010676            nan   3152.9234096      3.3665471   3153.4875837
2458328.5336914       0.9987881       0.0010693            nan   3149.6535893      3.3719241   3153.4752241
2458328.5545044       0.9983540       0.0010708            nan   3148.2780445      3.3767670   3153.4687849
2458328.5753784       0.9997637       0.0010721            nan   3152.7229032      3.3808598   3153.4681135
2458328.5961914       0.9982701       0.0010732            nan   3148.0175701      3.3842870   3153.4729048
2458328.6170044       1.0021108       0.0010747            nan   3160.1409040      3.3890149   3153.4846846
2458328.6378784       1.0000877       0.0010742            nan   3153.7785902      3.3876392   3153.5021406
2458328.6586914       0.9981927       0.0010740            nan   3147.8261309      3.3868827   3153.5253950
2458328.6795044       0.9999531       0.0010743            nan   3153.4065020      3.3877373   3153.5542646
2458328.7003784       1.0003641       0.0010744            nan   3154.7364024      3.3880654   3153.5880781
2458328.7211914       1.0007928       0.0010746            nan   3156.1272337      3.3887390   3153.6268965
2458328.7420044       0.9990847       0.0010748            nan   3150.7845673      3.3897181   3153.6710249
2458328.7628784       0.9986444       0.0010751            nan   3149.4440136      3.3906824   3153.7190596
2458328.7836914       0.9992431       0.0010757            nan   3151.3845274      3.3925613   3153.7716108
2458328.8045044       1.0006565       0.0010760            nan   3155.8976161      3.3935346   3153.8272749
2458328.8253784       0.9975990       0.0010754            nan   3146.3118685      3.3917181   3153.8844953
2458328.8461914       0.9999368       0.0010755            nan   3153.7430265      3.3921922   3153.9425093
2458328.8670044       1.0020441       0.0010752            nan   3160.4484879      3.3912714   3154.0012861
2458328.8878784       0.9984327       0.0010740            nan   3149.1140262      3.3874137   3154.0572859
2458328.9086914       0.9996035       0.0010732            nan   3152.8624855      3.3849508   3154.1130720
2458328.9295044       1.0004638       0.0010723            nan   3155.6293005      3.3823346   3154.1665083
2458328.9503784       0.9994643       0.0010707            nan   3152.5282240      3.3771222   3154.2179914
2458328.9711914       0.9999777       0.0010700            nan   3154.1930691      3.3749619   3154.2635542
2458328.9920044       1.0013830       0.0010693            nan   3158.6674378      3.3730090   3154.3051802
2458329.0128784       1.0004545       0.0010684            nan   3155.7747296      3.3701254   3154.3412214
2458329.0336914       0.9995159       0.0010682            nan   3152.8442376      3.3695289   3154.3712202
2458329.0545044       1.0013770       0.0010688            nan   3158.7375614      3.3713349   3154.3940473
2458329.0753784       0.9986587       0.0010689            nan   3150.1792600      3.3718317   3154.4102522
2458329.0961914       1.0013781       0.0010701            nan   3158.7653329      3.3755038   3154.4183088
2458329.1170044       0.9999580       0.0010707            nan   3154.2870863      3.3773422   3154.4197126
2458329.1378784       0.9995512       0.0010714            nan   3152.9967729      3.3795481   3154.4124800
2458329.1586914       1.0000821       0.0010719            nan   3154.6579395      3.3811789   3154.3990217
2458329.1795044       1.0024559       0.0010725            nan   3162.1240922      3.3830056   3154.3771406
2458329.2003784       1.0010277       0.0010725            nan   3157.5890186      3.3829530   3154.3471418
2458329.2211914       0.9991095       0.0010724            nan   3151.5026080      3.3825451   3154.3115888
2458329.2420044       0.9997436       0.0010720            nan   3153.4603374      3.3812295   3154.2689558
2458329.2628784       1.0005936       0.0010720            nan   3156.0936037      3.3812371   3154.2211347
2458329.2836914       0.9995601       0.0010712            nan   3152.7829827      3.3788605   3154.1704450
2458329.3045044       0.9997526       0.0010702            nan   3153.3359227      3.3754043   3154.1161238
2458329.3253784       0.9974070       0.0010691            nan   3145.8810664      3.3721489   3154.0596662
2458329.3461914       1.0004068       0.0010690            nan   3155.2842098      3.3716251   3154.0012556
2458329.3670044       1.0014472       0.0010686            nan   3158.5061485      3.3702892   3153.9418379
2458329.3878784       0.9996262       0.0010683            nan   3152.7040246      3.3691565   3153.8828169
2458329.4086914       0.9995483       0.0010683            nan   3152.4012534      3.3690979   3153.8259321
2458329.4295044       1.0021055       0.0010691            nan   3160.4109787      3.3715895   3153.7708479
2458329.4503784       0.9992490       0.0010692            nan   3151.3521571      3.3719294   3153.7207075
2458329.4711914       0.9990637       0.0010692            nan   3150.7231870      3.3720381   3153.6758467
2458329.4920044       0.9994533       0.0010701            nan   3151.9141434      3.3747295   3153.6383100
2458329.5128784       0.9990396       0.0010713            nan   3150.5817525      3.3784121   3153.6105085
2458329.5336914       0.9993689       0.0010728            nan   3151.6018612      3.3830968   3153.5920454
2458329.5545044       0.9989734       0.0010744            nan   3150.3458015      3.3881556   3153.5834089
2458329.5753784       0.9967154       0.0010754            nan   3143.2285248      3.3912459   3153.5867353
2458329.5961914       0.9985817       0.0010769            nan   3149.1272557      3.3961448   3153.6001325
2458329.6170044       1.0002817       0.0010780            nan   3154.5140187      3.3997343   3153.6257368
2458329.6378784       0.9996973       0.0010788            nan   3152.7071057      3.4022468   3153.6618086
2458329.6586914       0.9997999       0.0010791            nan   3153.0767236      3.4032621   3153.7077375
2458329.6795044       0.9996326       0.0010788            nan   3152.6057778      3.4023330   3153.7644697
2458329.7003784       1.0001477       0.0010790            nan   3154.2964351      3.4029167   3153.8307234
2458329.7211914       0.9989931       0.0010788            nan   3150.7296448      3.4023248   3153.9051863
2458329.7420044       0.9984944       0.0010790            nan   3149.2383833      3.4031524   3153.9869429
2458329.7628784       0.9998338       0.0010792            nan   3153.5526064      3.4039362   3154.0768782
2458329.7836914       1.0007035       0.0010794            nan   3156.3918377      3.4044822   3154.1729780
2458329.8045044       1.0017194       0.0010798            nan   3159.6955508      3.4060095   3154.2719770
2458329.8253784       1.0017049       0.0010796            nan   3159.7521714      3.4054662   3154.3742109
2458329.8461914       1.0005675       0.0010794            nan   3156.2682387      3.4049662   3154.4780622
2458329.8670044       1.0001259       0.0010785            nan   3154.9815880      3.4023111   3154.5842939
2458329.8878784       0.9986858       0.0010777            nan   3150.5459296      3.3999148   3154.6918989
2458329.9086914       0.9997770       0.0010769            nan   3154.0992414      3.3973844   3154.8026777
2458329.9295044       0.9993494       0.0010756            nan   3152.8618855      3.3934857   3154.9145246
2458329.9503784       0.9999119       0.0010748            nan   3154.7499047      3.3909810   3155.0279280
2458329.9711914       1.0004969       0.0010735            nan   3156.7089367      3.3869422   3155.1411482
2458329.9920044       0.9997145       0.0010722            nan   3154.3545915      3.3830246   3155.2554060
2458330.0128784       0.9988147       0.0010716            nan   3151.6292797      3.3814305   3155.3694502
2458330.0336914       0.9999607       0.0010721            nan   3155.3579371      3.3829152   3155.4820600
2458330.0545044       1.0005084       0.0010724            nan   3157.1971706      3.3841171   3155.5930220
2458330.0753784       0.9977861       0.0010721            nan   3148.7151469      3.3833152   3155.7015119
2458330.0961914       1.0014917       0.0010731            nan   3160.5125334      3.3865152   3155.8049971
2458330.1170044       1.0015978       0.0010737            nan   3160.9469324      3.3884090   3155.9044233
2458330.1378784       1.0021511       0.0010743            nan   3162.7878129      3.3906460   3155.9988447
2458330.1586914       0.9987467       0.0010748            nan   3152.1329389      3.3922627   3156.0885359
2458330.1795044       1.0006970       0.0010754            nan   3158.3744495      3.3942429   3156.1747175
2458330.2003784       0.9987969       0.0010756            nan   3152.4603429      3.3948879   3156.2576338
2458330.2211914       1.0002076       0.0010761            nan   3156.9943889      3.3964108   3156.3389936
2458330.2420044       1.0006582       0.0010757            nan   3158.4963631      3.3952267   3156.4189497
2458330.2628784       0.9994168       0.0010747            nan   3154.6559023      3.3922233   3156.4968305
2458330.2836914       0.9986358       0.0010737            nan   3152.2688535      3.3892873   3156.5751997
2458330.3045044       0.9981877       0.0010723            nan   3150.9333191      3.3848332   3156.6541487
2458330.3253784       1.0003818       0.0010714            nan   3157.9380724      3.3822484   3156.7327925
2458330.3670044       0.9996575       0.0010703            nan   3155.8080233      3.3789254   3156.8891645
2458330.3878784       0.9985267       0.0010696            nan   3152.3138800      3.3767071   3156.9650923
2458330.4086914       1.0004145       0.0010697            nan   3158.3487041      3.3770549   3157.0401655
2458330.4295044       1.0026353       0.0010702            nan   3165.4312755      3.3786157   3157.1112409
2458330.4503784       1.0001510       0.0010701            nan   3157.6563957      3.3784378   3157.1796919
2458330.4711914       0.9981060       0.0010701            nan   3151.2625926      3.3784200   3157.2423750
2458330.4920044       1.0012688       0.0010713            nan   3161.3074538      3.3822608   3157.3013960
2458330.5128784       1.0002796       0.0010724            nan   3158.2398859      3.3859556   3157.3571516
2458330.5545044       1.0009578       0.0010757            nan   3160.4751102      3.3965365   3157.4507490
2458330.5753784       1.0003185       0.0010774            nan   3158.4958499      3.4018476   3157.4900862
2458330.5961914       0.9994025       0.0010790            nan   3155.6382226      3.4071132   3157.5249067
2458330.6170044       1.0001352       0.0010806            nan   3157.9816927      3.4119379   3157.5548139
2458330.6378784       1.0003869       0.0010819            nan   3158.8015062      3.4161314   3157.5798384
2458330.6586914       0.9993877       0.0010826            nan   3155.6682831      3.4182624   3157.6017500
2458330.6795044       1.0007037       0.0010828            nan   3159.8411429      3.4189913   3157.6191755
2458330.7003784       0.9993685       0.0010828            nan   3155.6390437      3.4191476   3157.6330000
2458330.7211914       1.0009299       0.0010831            nan   3160.5797583      3.4198863   3157.6436201
2458330.7420044       1.0018847       0.0010830            nan   3163.6029008      3.4195873   3157.6515852
2458330.7628784       0.9988633       0.0010826            nan   3154.0670811      3.4183551   3157.6562544
2458330.7836914       0.9985788       0.0010828            nan   3153.1723205      3.4189992   3157.6598860
2458330.8045044       0.9997156       0.0010831            nan   3156.7648677      3.4200414   3157.6629682
2458330.8253784       1.0004587       0.0010832            nan   3159.1131928      3.4205054   3157.6647993
2458330.8461914       0.9990343       0.0010830            nan   3154.6178935      3.4199060   3157.6673323
2458330.8670044       1.0011069       0.0010827            nan   3161.1650086      3.4189584   3157.6698042
2458330.8878784       0.9982439       0.0010818            nan   3152.1264836      3.4160932   3157.6715742
2458330.9086914       1.0011321       0.0010816            nan   3161.2497829      3.4154479   3157.6749006
2458330.9295044       0.9990535       0.0010805            nan   3154.6877600      3.4117641   3157.6766401
2458330.9503784       0.9990540       0.0010797            nan   3154.6926741      3.4094619   3157.6798750
2458330.9711914       0.9972531       0.0010786            nan   3149.0089073      3.4059752   3157.6828047
2458330.9920044       0.9998760       0.0010783            nan   3157.2934685      3.4049873   3157.6850019
2458331.0128784       1.0005561       0.0010782            nan   3159.4416028      3.4047392   3157.6857649
2458331.0336914       1.0006333       0.0010785            nan   3159.6847748      3.4054667   3157.6850019
2458331.0545044       1.0006570       0.0010788            nan   3159.7566686      3.4066424   3157.6820112
2458331.0753784       0.9993640       0.0010790            nan   3155.6684513      3.4071895   3157.6766096
2458331.0961914       0.9991336       0.0010795            nan   3154.9333559      3.4087079   3157.6690107
2458331.1170044       1.0010168       0.0010804            nan   3160.8690121      3.4113986   3157.6582380
2458331.1378784       0.9987783       0.0010811            nan   3153.7874779      3.4137444   3157.6453291
2458331.1586914       0.9998977       0.0010821            nan   3157.3055540      3.4168519   3157.6285749
2458331.1795044       0.9976325       0.0010827            nan   3150.1331869      3.4186227   3157.6086775
2458331.2003784       1.0013262       0.0010835            nan   3161.7707059      3.4212587   3157.5831953
2458331.2211914       1.0002501       0.0010836            nan   3158.3439102      3.4214524   3157.5541426
2458331.2420044       1.0010002       0.0010834            nan   3160.6775024      3.4207276   3157.5195051
2458331.2628784       0.9986068       0.0010824            nan   3153.0810761      3.4176429   3157.4801679
2458331.2836914       1.0002546       0.0010819            nan   3158.2390243      3.4160216   3157.4350935
