# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458468.2813110       0.9995162       0.0015802            nan   3276.7438630      5.1804043   3278.3300195
2458468.3021240       1.0009359       0.0015806            nan   3281.3258787      5.1814738   3278.2577691
2458468.3438110       1.0003536       0.0015811            nan   3279.2727044      5.1830497   3278.1136956
2458468.3646240       0.9993693       0.0015800            nan   3275.9749781      5.1793829   3278.0424523
2458468.4063110       1.0000742       0.0015801            nan   3278.1433111      5.1792773   3277.8999352
2458468.4271240       0.9994765       0.0015805            nan   3276.1145757      5.1806290   3277.8303704
2458468.4479370       1.0009712       0.0015886            nan   3280.9444888      5.2071768   3277.7611260
2458468.4688110       0.9983359       0.0015817            nan   3272.2376416      5.1844313   3277.6919427
2458468.4896240       1.0006644       0.0015823            nan   3279.8014427      5.1862016   3277.6239190
2458468.5104370       0.9987986       0.0015801            nan   3273.6191841      5.1787365   3277.5568871
2458468.5313110       1.0011709       0.0015811            nan   3281.3268347      5.1821667   3277.4891839
2458468.5521240       1.0003398       0.0015801            nan   3278.5362331      5.1788141   3277.4225488
2458468.5729370       0.9975871       0.0015842            nan   3269.4469344      5.1919810   3277.3547387
2458468.5938110       0.9996538       0.0015821            nan   3276.1523651      5.1849492   3277.2869134
2458468.6146240       0.9997684       0.0015818            nan   3276.4596902      5.1838238   3277.2187066
2458468.6354370       1.0000641       0.0015912            nan   3277.3600450      5.2147343   3277.1499963
2458468.6563110       0.9996767       0.0015842            nan   3276.0207191      5.1916513   3277.0803246
2458468.6771240       1.0006165       0.0015796            nan   3279.0303082      5.1765030   3277.0099206
2458468.6979370       1.0000408       0.0015812            nan   3277.0724604      5.1813937   3276.9388604
2458468.7188110       1.0012459       0.0015807            nan   3280.9480428      5.1796579   3276.8653588
2458468.7396240       0.9997195       0.0015823            nan   3275.8721842      5.1848911   3276.7914605
2458468.7604370       0.9998840       0.0015806            nan   3276.3365295      5.1792130   3276.7166924
2458468.7813110       0.9999343       0.0015845            nan   3276.4251219      5.1919138   3276.6402917
2458468.8021240       0.9992119       0.0015798            nan   3273.9825159      5.1762160   3276.5647454
2458468.8229370       1.0023145       0.0015815            nan   3284.0714409      5.1817013   3276.4879937
2458468.8438110       0.9974915       0.0015802            nan   3268.1928643      5.1772402   3276.4118066
2458468.8646240       0.9991493       0.0015818            nan   3273.5489325      5.1823941   3276.3360925
2458468.8854370       0.9986203       0.0015824            nan   3271.7413014      5.1844140   3276.2615685
2458468.9063110       0.9998888       0.0015833            nan   3275.8247064      5.1870884   3276.1891656
2458468.9271240       0.9998676       0.0015827            nan   3275.6850326      5.1850243   3276.1189294
2458468.9479370       1.0018093       0.0015808            nan   3281.9775055      5.1786805   3276.0500817
2458468.9688110       0.9990997       0.0015818            nan   3273.0336657      5.1819017   3275.9831872
