# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458546.2601929       1.0005683       0.0010929            nan   3348.5691973      3.6574243   3346.6671734
2458546.2810669       1.0007256       0.0010927            nan   3349.0909468      3.6568479   3346.6625443
2458546.3018799       0.9992344       0.0010937            nan   3344.0987779      3.6603079   3346.6611252
2458546.3226929       0.9995394       0.0010933            nan   3345.1223272      3.6588771   3346.6636582
2458546.3435669       1.0000477       0.0010924            nan   3346.8306071      3.6557857   3346.6710530
2458546.3643799       0.9995385       0.0010925            nan   3345.1390415      3.6561262   3346.6836834
2458546.4060669       0.9969341       0.0010925            nan   3336.4664063      3.6562416   3346.7272282
2458546.4268799       0.9987229       0.0010915            nan   3342.4846119      3.6529708   3346.7587738
2458546.4476929       0.9988031       0.0010912            nan   3342.7915067      3.6519005   3346.7972412
2458546.4685669       0.9999550       0.0010919            nan   3346.6918672      3.6544519   3346.8423996
2458546.4893799       1.0010252       0.0010955            nan   3350.3250033      3.6664308   3346.8938656
2458546.5101929       0.9995201       0.0010915            nan   3345.3450346      3.6530537   3346.9511795
2458546.5310669       0.9993410       0.0010911            nan   3344.8080698      3.6519740   3347.0138321
2458546.5518799       0.9997169       0.0010933            nan   3346.1341332      3.6594784   3347.0816632
2458546.5726929       1.0006409       0.0010932            nan   3349.2986830      3.6591011   3347.1533337
2458546.5935669       1.0000265       0.0010919            nan   3347.3175044      3.6548997   3347.2289276
2458546.6143799       0.9988331       0.0010922            nan   3343.4011912      3.6558219   3347.3072071
2458546.6351929       0.9973165       0.0010924            nan   3338.4055071      3.6568370   3347.3881779
2458546.6560669       0.9994220       0.0010920            nan   3345.5355825      3.6554127   3347.4705773
2458546.6768799       0.9996164       0.0010961            nan   3346.2693323      3.6692889   3347.5533180
2458546.6976929       0.9998225       0.0010918            nan   3347.0408325      3.6548029   3347.6350708
2458546.7185669       1.0014547       0.0010902            nan   3352.5850740      3.6495724   3347.7151184
2458546.7393799       1.0010972       0.0010906            nan   3351.4645998      3.6509790   3347.7912979
2458546.7601929       1.0018148       0.0010913            nan   3353.9390682      3.6535146   3347.8632527
2458546.7810669       0.9989716       0.0010909            nan   3344.4876317      3.6523267   3347.9305248
2458546.8018799       1.0008213       0.0010914            nan   3350.7425415      3.6538889   3347.9928036
2458546.8226929       1.0006621       0.0010930            nan   3350.2670843      3.6593952   3348.0504856
2458546.8435669       0.9970776       0.0010928            nan   3338.3200510      3.6588717   3348.1044159
2458546.8643799       0.9998030       0.0010927            nan   3347.4939415      3.6585214   3348.1536827
2458546.8851929       0.9997295       0.0010928            nan   3347.2936063      3.6590619   3348.1992417
2458546.9060669       0.9995468       0.0010931            nan   3346.7245460      3.6599678   3348.2420540
2458546.9268799       0.9993767       0.0010936            nan   3346.1950091      3.6617310   3348.2819691
2458546.9476929       1.0010511       0.0010909            nan   3351.8386575      3.6527059   3348.3192902
2458546.9685669       0.9989249       0.0010912            nan   3344.7541717      3.6538832   3348.3540402
2458546.9893799       1.0000462       0.0010907            nan   3348.5399194      3.6520073   3348.3853188
