# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458354.1378784       1.0003603       0.0009331            nan   3360.8240590      3.1348005   3359.6137388
2458354.1586914       0.9995630       0.0009330            nan   3357.9166566      3.1343284   3359.3846586
2458354.1795044       0.9989872       0.0009329            nan   3355.7532259      3.1336652   3359.1555098
2458354.2003784       0.9990970       0.0009330            nan   3355.8935424      3.1337929   3358.9265058
2458354.2211914       1.0015595       0.0009334            nan   3363.9350222      3.1348622   3358.6970823
2458354.2420044       0.9991345       0.0009330            nan   3355.5602156      3.1333235   3358.4669874
2458354.2628784       0.9990775       0.0009330            nan   3355.1365138      3.1333870   3358.2343290
2458354.2836914       0.9990901       0.0009332            nan   3354.9459413      3.1335829   3358.0012663
2458354.3045044       1.0007715       0.0009334            nan   3360.3555980      3.1340283   3357.7649534
2458354.3253784       1.0006704       0.0009332            nan   3359.7745058      3.1332890   3357.5236814
2458354.3461914       0.9987721       0.0009331            nan   3353.1560424      3.1326478   3357.2783735
2458354.3670044       1.0017378       0.0009335            nan   3362.8618043      3.1337321   3357.0278242
2458354.3878784       0.9976658       0.0009330            nan   3348.9340971      3.1318473   3356.7693861
2458354.4086914       1.0014973       0.0009336            nan   3361.5304183      3.1337494   3356.5046308
2458354.4295044       0.9996073       0.0009334            nan   3354.9143337      3.1326354   3356.2323530
2458354.4503784       1.0002717       0.0009335            nan   3356.8630329      3.1327267   3355.9513624
2458354.4711914       0.9998597       0.0009335            nan   3355.1928070      3.1325424   3355.6635435
2458354.4920044       1.0013827       0.0009340            nan   3360.0073001      3.1339686   3355.3679274
2458354.5128784       0.9994573       0.0009336            nan   3353.2436973      3.1323906   3355.0645140
2458354.5336914       1.0011464       0.0009339            nan   3358.6006606      3.1328975   3354.7548902
2458354.5545044       1.0016330       0.0009340            nan   3359.9162169      3.1329237   3354.4383390
2458354.5753784       0.9991835       0.0009338            nan   3351.3767666      3.1319578   3354.1155470
2458354.5961914       0.9994641       0.0009338            nan   3351.9917119      3.1318902   3353.7889402
2458354.6170044       1.0003478       0.0009341            nan   3354.6261167      3.1323340   3353.4596174
2458354.6378784       0.9989586       0.0009339            nan   3349.6346482      3.1315202   3353.1265028
2458354.6586914       0.9990218       0.0009340            nan   3349.5139736      3.1314084   3352.7937696
2458354.6795044       0.9986476       0.0009341            nan   3347.9266635      3.1314017   3352.4604872
2458354.7003784       0.9976188       0.0009339            nan   3344.1433443      3.1304913   3352.1253813
2458354.7211914       1.0006311       0.0009343            nan   3353.9070415      3.1315989   3351.7916029
2458354.7420044       0.9997591       0.0009343            nan   3350.6487033      3.1312665   3351.4561842
2458354.7628784       0.9999714       0.0009344            nan   3351.0232720      3.1314010   3351.1191633
2458354.7836914       1.0005561       0.0009346            nan   3352.6460447      3.1315394   3350.7825773
2458354.8045044       1.0010064       0.0009349            nan   3353.8165658      3.1322995   3350.4446409
2458354.8253784       1.0002331       0.0009348            nan   3350.8859054      3.1318111   3350.1051252
2458354.8461914       0.9994536       0.0009347            nan   3347.9354429      3.1309708   3349.7657927
2458354.8670044       1.0013268       0.0009350            nan   3353.8708924      3.1317870   3349.4268034
2458354.8878784       0.9982806       0.0009348            nan   3343.3288508      3.1307690   3349.0873411
2458354.9086914       1.0010920       0.0009353            nan   3352.4064284      3.1319641   3348.7497404
2458354.9295044       0.9998805       0.0009351            nan   3348.0138040      3.1310121   3348.4140089
2458354.9503784       1.0007173       0.0009353            nan   3350.4810958      3.1313013   3348.0795134
2458354.9711914       0.9999427       0.0009353            nan   3347.5571985      3.1310729   3347.7490004
2458354.9920044       1.0008331       0.0009355            nan   3350.2113020      3.1314095   3347.4225691
2458355.0128784       0.9987863       0.0009352            nan   3343.0369028      3.1301614   3347.0992887
2458355.0336914       0.9999156       0.0009353            nan   3346.5004491      3.1301679   3346.7827986
2458355.0545044       0.9984097       0.0009354            nan   3341.1510611      3.1303773   3346.4728239
2458355.0753784       0.9999991       0.0009357            nan   3346.1663087      3.1310808   3346.1691969
2458355.0961914       1.0006068       0.0009358            nan   3347.9036740      3.1309517   3345.8734510
2458355.1170044       0.9998620       0.0009355            nan   3345.1230730      3.1298751   3345.5848921
2458355.1378784       1.0008572       0.0009359            nan   3348.1713379      3.1309100   3345.3035810
2458355.1586914       0.9985548       0.0009357            nan   3340.1961978      3.1300500   3345.0305632
2458355.1795044       0.9999885       0.0009359            nan   3344.7273990      3.1303373   3344.7658995
2458355.2003784       0.9994873       0.0009360            nan   3342.7938912      3.1304132   3344.5085066
2458355.2211914       1.0008985       0.0009362            nan   3347.2656034      3.1310022   3344.2607954
2458355.2420044       0.9986998       0.0009360            nan   3339.6731367      3.1299432   3344.0209806
2458355.2628784       0.9988655       0.0009359            nan   3339.9950828      3.1296110   3343.7886122
2458355.2836914       0.9993095       0.0009361            nan   3341.2557773      3.1300338   3343.5644758
2458355.3045044       0.9996722       0.0009361            nan   3342.2515559      3.1298700   3343.3475416
2458355.3253784       1.0002534       0.0009362            nan   3343.9830194      3.1299283   3343.1359327
2458355.3461914       1.0010315       0.0009365            nan   3346.3780272      3.1304997   3342.9298552
2458355.3670044       0.9990780       0.0009362            nan   3339.6449056      3.1295506   3342.7270582
2458355.3878784       0.9999798       0.0009364            nan   3342.4589949      3.1300746   3342.5266645
2458355.4086914       1.0003137       0.0009366            nan   3343.3771818      3.1303117   3342.3285444
2458355.4295044       1.0015621       0.0009367            nan   3347.3513970      3.1305722   3342.1308058
2458355.4503784       1.0000970       0.0009366            nan   3342.2565444      3.1301551   3341.9324644
2458355.4711914       1.0010037       0.0009369            nan   3345.0881673      3.1308329   3341.7341459
2458355.4920044       1.0019426       0.0009369            nan   3348.0256367      3.1306667   3341.5344847
2458355.5128784       0.9990521       0.0009366            nan   3338.1663891      3.1293824   3341.3334806
2458355.5336914       1.0005016       0.0009368            nan   3342.8091172      3.1301348   3341.1330641
2458355.5545044       0.9995763       0.0009368            nan   3339.5176710      3.1297279   3340.9331663
2458355.5753784       1.0010271       0.0009371            nan   3344.1650127      3.1306554   3340.7337110
2458355.5961914       0.9995491       0.0009368            nan   3339.0302092      3.1293927   3340.5363844
2458355.6170044       0.9998347       0.0009369            nan   3339.7896392      3.1297006   3340.3417814
2458355.6378784       0.9991894       0.0009369            nan   3337.4423409      3.1292994   3340.1498487
2458355.6586914       1.0010733       0.0009373            nan   3343.5470771      3.1306129   3339.9623716
2458355.6795044       0.9995524       0.0009370            nan   3338.2845973      3.1292365   3339.7793959
2458355.7003784       0.9994861       0.0009371            nan   3337.8844451      3.1296156   3339.6007154
2458355.7211914       1.0008937       0.0009374            nan   3342.4133983      3.1304194   3339.4289854
2458355.7420044       0.9991911       0.0009372            nan   3336.5615064      3.1294597   3339.2626493
2458355.7628784       0.9992934       0.0009373            nan   3336.7434559      3.1296422   3339.1029737
2458355.7836914       0.9981679       0.0009371            nan   3332.8336541      3.1289478   3338.9508818
2458355.8045044       0.9996757       0.0009373            nan   3337.7242835      3.1293952   3338.8070295
2458355.8253784       1.0010259       0.0009377            nan   3342.0952020      3.1306110   3338.6701506
2458355.8461914       0.9994652       0.0009374            nan   3336.7553080      3.1296378   3338.5408705
2458355.8670044       0.9994432       0.0009376            nan   3336.5609541      3.1301738   3338.4197767
2458355.8878784       0.9999211       0.0009375            nan   3338.0432607      3.1296825   3338.3068083
2458355.9086914       0.9986657       0.0009374            nan   3333.7489036      3.1291140   3338.2029188
2458355.9295044       0.9992088       0.0009374            nan   3335.4661038      3.1291356   3338.1071089
2458355.9503784       0.9996509       0.0009376            nan   3336.8531719      3.1297106   3338.0184401
2458355.9711914       1.0001804       0.0009376            nan   3338.5391567      3.1296616   3337.9368284
2458355.9920044       0.9990693       0.0009375            nan   3334.7547119      3.1293073   3337.8611143
2458356.0128784       0.9995080       0.0009375            nan   3336.1478837      3.1291343   3337.7902143
2458356.0336914       1.0002690       0.0009377            nan   3338.6204888      3.1298092   3337.7226942
2458356.0545044       1.0011337       0.0009378            nan   3341.4414224      3.1300287   3337.6575392
2458356.0753784       1.0011878       0.0009380            nan   3341.5573279      3.1305024   3337.5928038
2458356.0961914       0.9993570       0.0009374            nan   3335.3824521      3.1286743   3337.5283583
2458356.1170044       1.0011975       0.0009378            nan   3341.4588951      3.1297324   3337.4623182
2458356.1378784       0.9999200       0.0009378            nan   3337.1279908      3.1297767   3337.3948286
2458356.1586914       1.0002711       0.0009378            nan   3338.2305927      3.1297284   3337.3257826
2458356.1795044       0.9993185       0.0009376            nan   3334.9802467      3.1289657   3337.2545088
2458356.2003784       1.0000805       0.0009377            nan   3337.4494934      3.1291163   3337.1810148
2458356.2211914       1.0012940       0.0009379            nan   3341.4227514      3.1297584   3337.1046141
2458356.2420044       1.0003748       0.0009378            nan   3338.2759572      3.1296244   3337.0252150
2458356.2628784       1.0003163       0.0009378            nan   3337.9976743      3.1294338   3336.9422758
2458356.2836914       0.9987649       0.0009378            nan   3332.7358305      3.1292825   3336.8570555
2458356.3045044       1.0005195       0.0009380            nan   3338.5027429      3.1298397   3336.7692411
2458356.3253784       0.9979429       0.0009376            nan   3329.8146981      3.1283363   3336.6786497
2458356.3461914       0.9996400       0.0009380            nan   3335.3839131      3.1295959   3336.5851362
2458356.3670044       1.0004655       0.0009381            nan   3338.0429273      3.1299122   3336.4899061
2458356.3878784       0.9992177       0.0009380            nan   3333.7817156      3.1294506   3336.3916243
2458356.4086914       1.0008274       0.0009383            nan   3339.0511806      3.1303322   3336.2907560
2458356.4295044       1.0008095       0.0009384            nan   3338.8887249      3.1305548   3336.1879576
2458356.4503784       0.9989310       0.0009380            nan   3332.5160216      3.1293752   3336.0823286
2458356.4711914       0.9980106       0.0009380            nan   3329.3383999      3.1290506   3335.9748610
2458356.4920044       0.9995359       0.0009382            nan   3334.3168797      3.1296486   3335.8651884
2458356.5128784       1.0008407       0.0009384            nan   3338.5585304      3.1301394   3335.7540968
2458356.5336914       1.0008579       0.0009386            nan   3338.5024379      3.1308130   3335.6408232
2458356.5545044       1.0005723       0.0009387            nan   3337.4346196      3.1311154   3335.5256498
2458356.5753784       0.9996061       0.0009385            nan   3334.0952332      3.1303638   3335.4092024
2458356.5961914       0.9988895       0.0009383            nan   3331.5883359      3.1296530   3335.2921064
2458356.6170044       1.0002618       0.0009387            nan   3336.0480335      3.1307156   3335.1750257
2458356.6586914       0.9987109       0.0009387            nan   3330.6427575      3.1305727   3334.9417036
2458356.6795044       0.9997309       0.0009389            nan   3333.9289731      3.1309497   3334.8262098
2458356.7003784       1.0006781       0.0009390            nan   3336.9720223      3.1312751   3334.7108534
2458356.7211914       1.0014391       0.0009393            nan   3339.3945988      3.1322798   3334.5957869
2458356.7420044       0.9999897       0.0009392            nan   3334.4472772      3.1317346   3334.4815062
2458356.7628784       1.0019146       0.0009393            nan   3340.7510521      3.1321284   3334.3669126
2458356.7836914       0.9984158       0.0009392            nan   3328.9718046      3.1314352   3334.2538145
2458356.8045044       0.9987290       0.0009392            nan   3329.9055102      3.1314097   3334.1430738
2458356.8253784       1.0010459       0.0009394            nan   3337.5217903      3.1319511   3334.0348509
2458356.8461914       0.9989175       0.0009391            nan   3330.3204891      3.1308592   3333.9294203
2458356.8670044       0.9988832       0.0009390            nan   3330.1047046      3.1304925   3333.8280638
2458356.8878784       1.0007983       0.0009393            nan   3336.3911785      3.1315014   3333.7299574
2458356.9086914       1.0008002       0.0009393            nan   3336.3023404      3.1311554   3333.6349028
2458356.9295044       0.9996256       0.0009390            nan   3332.2958283      3.1301044   3333.5440443
2458356.9503784       0.9995218       0.0009391            nan   3331.8618473      3.1304846   3333.4557493
2458356.9711914       0.9985399       0.0009391            nan   3328.5047431      3.1302244   3333.3718336
2458356.9920044       0.9980643       0.0009389            nan   3326.8385663      3.1296122   3333.2908476
2458357.0128784       1.0010243       0.0009394            nan   3336.6274234      3.1313576   3333.2131803
2458357.0336914       0.9995911       0.0009394            nan   3331.7750654      3.1312151   3333.1378553
