# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458653.9499512       1.0011133       0.0011940            nan   3264.9345021      3.8941281   3261.3038378
2458653.9707642       1.0025342       0.0011903            nan   3269.5687534      3.8817883   3261.3038378
2458653.9916382       1.0011576       0.0011910            nan   3265.0790530      3.8842308   3261.3038378
2458654.0124512       1.0018798       0.0011908            nan   3267.4344377      3.8836641   3261.3038378
2458654.0332642       1.0016811       0.0011964            nan   3266.7865362      3.9018370   3261.3038378
2458654.0541382       1.0028954       0.0011939            nan   3270.7467391      3.8937614   3261.3038378
2458654.0749512       1.0011516       0.0011964            nan   3265.0595277      3.9016735   3261.3038378
2458654.0957642       1.0015869       0.0011967            nan   3266.4793501      3.9029246   3261.3038378
2458654.1166382       1.0011095       0.0012013            nan   3264.9222816      3.9176876   3261.3038378
2458654.1374512       1.0013311       0.0012035            nan   3265.6448010      3.9248311   3261.3038378
2458654.1582642       1.0010999       0.0012070            nan   3264.8910104      3.9362667   3261.3038378
2458654.1791382       1.0030517       0.0012119            nan   3271.2564959      3.9524333   3261.3038378
2458654.1999512       1.0047114       0.0012145            nan   3276.6692226      3.9609886   3261.3038378
2458654.2207642       1.0035076       0.0012194            nan   3272.7431550      3.9767527   3261.3038378
2458654.2624512       1.0026824       0.0012281            nan   3270.0520108      4.0051832   3261.3038378
2458654.2832642       1.0037858       0.0012338            nan   3273.6506221      4.0237165   3261.3038378
2458654.3041382       1.0018359       0.0012399            nan   3267.2911467      4.0438476   3261.3038378
2458654.3249512       1.0004504       0.0012361            nan   3262.7728080      4.0312249   3261.3038378
2458654.3457642       1.0016205       0.0012432            nan   3266.5887709      4.0543697   3261.3038378
2458654.3666382       1.0015844       0.0012492            nan   3266.4711013      4.0739900   3261.3038378
2458654.3874512       1.0012319       0.0012472            nan   3265.3214712      4.0673730   3261.3038378
2458654.4082642       1.0023708       0.0012574            nan   3269.0356570      4.1006483   3261.3038378
2458654.4291382       1.0006893       0.0012558            nan   3263.5517895      4.0954359   3261.3038378
2458654.4499512       1.0012732       0.0012579            nan   3265.4562185      4.1025294   3261.3038378
2458654.4707642       1.0015758       0.0012666            nan   3266.4430526      4.1308540   3261.3038378
2458654.4916382       1.0032057       0.0012675            nan   3271.7585187      4.1335979   3261.3038378
2458654.5332642       1.0037502       0.0012752            nan   3273.5343470      4.1588048   3261.3038378
2458654.5541382       1.0046874       0.0012796            nan   3276.5908791      4.1732592   3261.3038378
2458654.5749512       1.0040972       0.0012839            nan   3274.6660275      4.1872619   3261.3038378
2458654.5957642       1.0039541       0.0012876            nan   3274.1994490      4.1992010   3261.3038378
2458654.6166382       1.0045759       0.0012926            nan   3276.2271136      4.2156095   3261.3038378
2458654.6374512       1.0048335       0.0012927            nan   3277.0673674      4.2159365   3261.3038378
2458654.6582642       1.0060312       0.0012971            nan   3280.9734788      4.2300825   3261.3038378
2458654.6791382       1.0053786       0.0012935            nan   3278.8452488      4.2185778   3261.3038378
2458654.6999512       1.0040579       0.0012936            nan   3274.5378996      4.2189151   3261.3038378
2458654.7207642       1.0073940       0.0012958            nan   3285.4178005      4.2258497   3261.3038378
2458654.7416382       1.0051592       0.0013007            nan   3278.1296316      4.2420470   3261.3038378
2458654.7624512       1.0054778       0.0012983            nan   3279.1684820      4.2342675   3261.3038378
2458654.7832642       1.0068356       0.0013007            nan   3283.5968280      4.2420437   3261.3038378
2458654.8041382       1.0060991       0.0013024            nan   3281.1947368      4.2476321   3261.3038378
2458654.8249512       1.0045541       0.0012993            nan   3276.1562854      4.2373275   3261.3038378
2458654.8457642       1.0032530       0.0012976            nan   3271.9129658      4.2320059   3261.3038378
2458654.8666382       1.0058981       0.0012985            nan   3280.5392999      4.2349368   3261.3038378
2458654.8874512       1.0043556       0.0012952            nan   3275.5087436      4.2242013   3261.3038378
2458654.9082642       1.0036859       0.0012964            nan   3273.3246179      4.2279883   3261.3038378
2458654.9291382       1.0056883       0.0012927            nan   3279.8549565      4.2157711   3261.3038378
2458654.9499512       1.0047773       0.0012902            nan   3276.8840692      4.2077719   3261.3038378
2458654.9707642       1.0036872       0.0012939            nan   3273.3289111      4.2199181   3261.3038378
2458654.9916382       1.0043466       0.0012933            nan   3275.4794186      4.2176995   3261.3038378
2458655.0124512       1.0049426       0.0012927            nan   3277.4231111      4.2158740   3261.3038378
2458655.0332642       1.0036636       0.0012914            nan   3273.2521033      4.2115030   3261.3038378
2458655.0541382       1.0060748       0.0012995            nan   3281.1154918      4.2381870   3261.3038378
2458655.0749512       1.0062368       0.0012942            nan   3281.6437994      4.2206273   3261.3038378
2458655.0957642       1.0064364       0.0012953            nan   3282.2950068      4.2243262   3261.3038378
2458655.1166382       1.0029809       0.0012983            nan   3271.0255446      4.2340827   3261.3038378
2458655.1374512       1.0063047       0.0012978            nan   3281.8652620      4.2324937   3261.3038378
2458655.1582642       1.0056863       0.0012988            nan   3279.8486345      4.2359429   3261.3038378
2458655.1791382       1.0072922       0.0013007            nan   3285.0860421      4.2418295   3261.3038378
2458655.1999512       1.0034790       0.0012977            nan   3272.6500292      4.2323275   3261.3038378
2458655.2207642       1.0064524       0.0012991            nan   3282.3469492      4.2367114   3261.3038378
2458655.2416382       1.0061036       0.0012970            nan   3281.2093742      4.2300163   3261.3038378
2458655.2624512       1.0043497       0.0012953            nan   3275.4895048      4.2243276   3261.3038378
2458655.2832642       1.0017164       0.0012939            nan   3266.9015385      4.2197090   3261.3038378
2458655.3041382       1.0056513       0.0012965            nan   3279.7345401      4.2284016   3261.3038378
2458655.3249512       1.0031362       0.0012968            nan   3271.5319656      4.2292425   3261.3038378
2458655.3457642       1.0040457       0.0012938            nan   3274.4979964      4.2194359   3261.3038378
2458655.3666382       1.0032892       0.0012983            nan   3272.0307764      4.2339976   3261.3038378
2458655.3874512       1.0047586       0.0012939            nan   3276.8231463      4.2198468   3261.3038378
2458655.4082642       1.0033689       0.0012950            nan   3272.2907877      4.2233425   3261.3038378
2458655.4291382       1.0044680       0.0012969            nan   3275.8754641      4.2297175   3261.3038378
2458655.4499512       1.0037328       0.0012966            nan   3273.4777817      4.2284973   3261.3038378
2458655.4707642       1.0046655       0.0012969            nan   3276.5194005      4.2296019   3261.3038378
2458655.4916382       1.0034361       0.0012988            nan   3272.5101019      4.2357263   3261.3038378
2458655.5124512       1.0060110       0.0013010            nan   3280.9076895      4.2430276   3261.3038378
2458655.5332642       1.0033199       0.0013026            nan   3272.1309490      4.2481600   3261.3038378
2458655.5541382       1.0053194       0.0013094            nan   3278.6520717      4.2702371   3261.3038378
2458655.5749512       1.0063895       0.0013090            nan   3282.1419777      4.2689398   3261.3038378
2458655.5957642       1.0053620       0.0013078            nan   3278.7908421      4.2651132   3261.3038378
2458655.6166382       1.0043760       0.0013084            nan   3275.5752101      4.2672016   3261.3038378
2458655.6374512       1.0044138       0.0013061            nan   3275.6985313      4.2596071   3261.3038378
2458655.6582642       1.0042854       0.0013065            nan   3275.2797161      4.2607830   3261.3038378
2458655.6791382       1.0044026       0.0013059            nan   3275.6621275      4.2590841   3261.3038378
2458655.6999512       1.0056873       0.0013053            nan   3279.8517047      4.2569730   3261.3038378
2458655.7207642       1.0040231       0.0013041            nan   3274.4245514      4.2529538   3261.3038378
2458655.7416382       1.0021348       0.0013035            nan   3268.2659162      4.2512503   3261.3038378
2458655.7625122       1.0068991       0.0013051            nan   3283.8038028      4.2562202   3261.3038378
2458655.7833252       1.0025759       0.0013027            nan   3269.7047058      4.2485270   3261.3038378
2458655.8041382       1.0036419       0.0013019            nan   3273.1811133      4.2457710   3261.3038378
2458655.8250122       1.0072665       0.0013022            nan   3285.0019995      4.2467213   3261.3038378
2458655.8458252       1.0067131       0.0013015            nan   3283.1972141      4.2446867   3261.3038378
2458655.8666382       1.0040254       0.0012975            nan   3274.4319212      4.2316619   3261.3038378
2458655.8875122       1.0033575       0.0012967            nan   3272.2538039      4.2287860   3261.3038378
2458655.9083252       1.0028234       0.0012952            nan   3270.5119130      4.2241048   3261.3038378
2458655.9291382       1.0077519       0.0012911            nan   3286.5852154      4.2105584   3261.3038378
2458655.9500122       1.0046451       0.0012881            nan   3276.4529306      4.2008971   3261.3038378
2458655.9708252       1.0037763       0.0012882            nan   3273.6195161      4.2013051   3261.3038378
2458655.9916382       1.0014200       0.0012834            nan   3265.9349741      4.1855324   3261.3038378
2458656.0125122       1.0033905       0.0012824            nan   3272.3613174      4.1821813   3261.3038378
2458656.0333252       1.0040862       0.0012844            nan   3274.6302921      4.1888333   3261.3038378
2458656.0541382       1.0031317       0.0012793            nan   3271.5171870      4.1723238   3261.3038378
2458656.0750122       1.0061653       0.0012820            nan   3281.4107937      4.1811087   3261.3038378
2458656.0958252       1.0040767       0.0012800            nan   3274.5992586      4.1744365   3261.3038378
2458656.1166382       1.0034238       0.0012819            nan   3272.4700149      4.1806959   3261.3038378
2458656.1375122       1.0029557       0.0012802            nan   3270.9432512      4.1750616   3261.3038378
2458656.1583252       1.0035158       0.0012812            nan   3272.7700104      4.1784975   3261.3038378
2458656.1791382       1.0024884       0.0012828            nan   3269.4193454      4.1836397   3261.3038378
2458656.2000122       1.0033459       0.0012803            nan   3272.2157221      4.1754102   3261.3038378
2458656.2208252       1.0025986       0.0012801            nan   3269.7784994      4.1747294   3261.3038378
2458656.2416382       1.0025646       0.0012810            nan   3269.6678826      4.1776365   3261.3038378
2458656.2625122       1.0016425       0.0012771            nan   3266.6606554      4.1648581   3261.3038378
2458656.2833252       1.0033845       0.0012753            nan   3272.3417112      4.1592927   3261.3038378
2458656.3041382       1.0034174       0.0012727            nan   3272.4490644      4.1505446   3261.3038378
2458656.3250122       1.0037559       0.0012723            nan   3273.5528446      4.1492243   3261.3038378
2458656.3458252       1.0036485       0.0012714            nan   3273.2025739      4.1465270   3261.3038378
2458656.3666382       1.0012465       0.0012699            nan   3265.3690334      4.1414127   3261.3038378
2458656.3875122       1.0027769       0.0012675            nan   3270.3601217      4.1337959   3261.3038378
2458656.4083252       1.0046698       0.0012701            nan   3276.5333139      4.1420398   3261.3038378
2458656.4291382       1.0037455       0.0012666            nan   3273.5190197      4.1306052   3261.3038378
2458656.4500122       1.0023420       0.0012676            nan   3268.9417393      4.1341811   3261.3038378
2458656.4708252       1.0040197       0.0012661            nan   3274.4131545      4.1291524   3261.3038378
2458656.4916382       1.0031345       0.0012697            nan   3271.5262808      4.1409222   3261.3038378
2458656.5125122       1.0018105       0.0012690            nan   3267.2084965      4.1386651   3261.3038378
2458656.5333252       1.0024606       0.0012802            nan   3269.3286611      4.1751048   3261.3038378
2458656.5541382       1.0020118       0.0012723            nan   3267.8648960      4.1494195   3261.3038378
2458656.5750122       1.0007177       0.0012720            nan   3263.6443259      4.1482529   3261.3038378
2458656.5958252       1.0031073       0.0012735            nan   3271.4377403      4.1532816   3261.3038378
2458656.6166382       1.0019620       0.0012756            nan   3267.7026172      4.1599841   3261.3038378
2458656.6375122       1.0014439       0.0012734            nan   3266.0129912      4.1530787   3261.3038378
2458656.6583252       1.0034893       0.0012764            nan   3272.6836134      4.1628048   3261.3038378
2458656.6791382       1.0024520       0.0012742            nan   3269.3005296      4.1554243   3261.3038378
2458656.7000122       1.0007549       0.0012726            nan   3263.7658652      4.1504179   3261.3038378
2458656.7208252       1.0038947       0.0012728            nan   3274.0056652      4.1509200   3261.3038378
2458656.7416382       1.0005142       0.0012741            nan   3262.9809583      4.1552963   3261.3038378
2458656.7625122       1.0022158       0.0012724            nan   3268.5301805      4.1496959   3261.3038378
2458656.7833252       1.0015752       0.0012729            nan   3266.4409606      4.1512549   3261.3038378
2458656.8041382       1.0032439       0.0012735            nan   3271.8831598      4.1533084   3261.3038378
