2458762.81447 -52.2634597587 6.51659874066 7.25513195512 0.0104342865543 56.008513568 2019-10-06T07:16:29.928
2458764.7474 -8.0801259766 6.54935659585 7.27257359114 -0.0357366022646 55.5046002228 2019-10-08T05:40:16.071
2458773.77768 -149.333126074 8.31960706479 7.3855166843 -0.00631514611332 53.9728022769 2019-10-17T06:23:52.774
2458774.71448 -79.4748083298 7.06241315907 7.20886921046 0.00456897433709 55.3315101209 2019-10-18T04:53:29.833
2458777.67824 -36.1044327255 6.67632238303 7.24141666741 -0.0272909937727 56.6479706559 2019-10-21T04:00:48.681
2458807.70786 -186.624142517 6.06275114216 7.23040096761 -0.0306517815359 55.8449472071 2019-11-20T04:44:33.947
2458811.74229 -29.3479133455 6.55548164339 7.19258510711 -0.00285612421626 56.0133535956 2019-11-24T05:33:04.292
2458813.70323 -40.2269572744 6.40572204014 7.22857278072 0.0105239055612 56.20689847 2019-11-26T04:38:05.214
2458831.6523 -177.978914623 6.44566327983 7.26930825555 -0.0202332948926 55.180428258 2019-12-14T03:25:37.362
2458834.70194 -52.8321981132 6.72717848211 7.27152048921 -0.0173168515829 55.7939879429 2019-12-17T04:36:53.652
2458838.69342 -94.039965137 8.57095936672 7.33768525897 0.0371921035863 55.3795758245 2019-12-21T04:26:13.924
2458840.70253 -152.852294609 6.55203822558 7.28699937953 -0.0212119957501 55.7800169192 2019-12-23T04:38:47.482
2458852.60852 -139.946657128 6.32177234113 7.2472143597 -0.00763515608007 55.7241894066 2020-01-04T02:23:04.345
2458869.59965 -95.1247290961 7.61611622609 7.29320422596 0.00711094008839 54.0627782633 2020-01-21T02:10:50.476
2458883.56663 23.1946031773 6.31399860989 7.23573326763 -0.00649734895665 55.2986346564 2020-02-04T01:22:26.711
2458883.58727 15.1048371927 7.99788055437 7.32858327823 -0.000441054797237 54.6247827786 2020-02-04T01:55:09.049
2458886.55517 -76.0331731215 6.81330365674 7.25257517455 0.0132883468243 55.9982476697 2020-02-07T01:06:32.783
2458890.53578 -218.062382518 7.51885225206 7.35204638829 -0.0060507492209 54.5429496414 2020-02-11T00:39:12.562
2458898.56934 -130.241819778 8.31558933296 7.31228813962 0.0237651950052 55.213336 2020-02-19T01:25:58.424
2458900.56194 -189.558164571 8.39814249305 7.25914760636 -0.0359944031567 55.9526990409 2020-02-21T01:16:29.295
