2458762.81447  0.2858869683722477 0.007954133205612134
2458764.7474   0.3086586578219359 0.005677683324265186
2458773.77768  0.33509247912220713 0.009960461390341074
2458774.71448  0.27071315541647917 0.007190224368777753
2458777.67824  0.33385567459706283 0.010499152510639482
2458807.70786  0.2725640124218826 0.005897322302838382
2458811.74229  0.27544021599022955 0.008022986921944484
2458813.70323  0.25075412344920756 0.0075658457632372
2458831.6523   0.2557660737486639 0.0052505812750562805
2458834.70194  0.25677133848363826 0.007282039423070663
2458838.69342  0.24814003075241137 0.012117135663719284
2458840.70253  0.2457130141763134 0.006457630568761768
2458852.60852  0.2563289368316429 0.004853191534541222
2458869.59965  0.2723467873996026 0.006322290717405266
2458883.56663  0.2664555177768149 0.007132287526523166
2458883.58727  0.25443709275067666 0.007693073767352267
2458886.55517  0.26606015336923927 0.008465589435346135
2458890.53578  0.2525945038798678 0.005726677105542989
2458898.56934  0.2538197139700098 0.009724298452037893
2458900.56194  0.24399473207518738 0.01161099701846097

