#BJD_TDB	Flux	Flux_err
2458767.63293	0.9958903964990844	0.0017510086999982244
2458767.63506	0.9976235140072074	0.0020034427276165445
2458767.63697	0.9987245750893351	0.001626185629077459
2458767.63905	1.0011912106814924	0.0010329776841289107
2458767.64111	1.0044868157055846	0.0010296255293718026
2458767.64298	1.0003058546368597	0.0011028954457588114
2458767.64511	0.9996941453631407	0.0011108038066041104
2458767.64697	0.9988459691446525	0.001170912026749793
2458767.64887	1.0029695797710234	0.0010247848177378227
2458767.65096	1.002283195374546	0.0011495229233930981
2458767.65286	0.9999793945561938	0.0009785009271651157
2458767.65496	0.9936972452892516	0.0014371966826722815
2458767.65685	0.9989887044636536	0.001590717311857781
2458767.65895	1.0026759746566376	0.0010779147522403942
2458767.66085	1.0002283733721038	0.0017676237167794095
2458767.66294	1.0059772731388459	0.0013122745445444117
2458767.66485	1.0027336466554402	0.002432790109275773
2458767.66693	1.0001640122693995	0.0014516242053415063
2458767.66884	1.0006258495193694	0.0013537280051874045
2458767.67093	1.002611749327461	0.0011188388868805799
2458767.67284	0.9915633514301205	0.0035206763159242316
2458767.67492	0.9905648118079806	0.0021131685848346793
2458767.67683	1.0007293277600584	0.0012006514483686725
2458767.67892	1.0004539292474175	0.001238369731026423
2458767.68082	1.0044102471019225	0.0011360568573630658
2458767.68291	1.0022834218242902	0.0009388847241633691
2458767.68483	1.0011348436917904	0.0009273233210473908
2458767.6869	1.0010281649035873	0.0009382444264738332
2458767.68881	1.0027294470542443	0.000907241583755436
2458767.69089	1.0031235442980282	0.0008903543513643086
2458767.6928	1.0017807490289092	0.0009189389277652893
2458767.69489	1.0018565684697067	0.0009040694997135557
2458767.69679	1.0023595703406267	0.0009839238173394715
2458767.69888	1.004422962129776	0.0014452726181057862
2458767.70079	1.003486978591347	0.0034581618002278436
2458767.70288	1.0019380557583146	0.0011948686358422833
2458767.70478	0.9988895687731019	0.0017289268121825074
2458767.70686	0.9946573226144434	0.0018062297894826385
2458767.70877	1.0025206443190637	0.0009838359957958787
2458767.71071	1.0020776519015329	0.0009243179850029204
2458767.71262	1.0017631331436165	0.0009549183587402865
2458767.7147	1.0030876358546585	0.0008636472305636467
2458767.71661	1.0004163691235182	0.0008440211138796005
2458767.71862	1.0017367315699013	0.0011819620215594018
2458767.72053	0.9956016797947437	0.0015043647395673876
2458767.72262	1.000471250244047	0.0008711423149109221
2458767.72453	1.0025145599402883	0.0008587507032211672
2458767.72661	1.0037372743624615	0.001039283691010473
2458767.72851	0.9996122926063051	0.000885081829960721
2458767.73053	1.002435015677662	0.0008852960672212085
2458767.73243	1.0015852061546433	0.0009718379537300148
2458767.73453	0.9949244375649391	0.0013930492798712724
2458767.73644	1.0000372723517725	0.0010115715780957268
2458767.73852	0.9989106479270532	0.0010783617493205222
2458767.74043	0.9952581428366813	0.0015799560672847823
2458767.74251	1.0014576647449396	0.0010949135737112758
2458767.74441	1.0017572490365296	0.0009273281298254332
2458767.7465	1.0007782233926725	0.001097431087480616
2458767.74841	1.001033559246591	0.0009363016313459482
2458767.7505	0.9964945959030075	0.0011946084195875173
2458767.75241	0.9980817785368921	0.0015184264781770151
2458767.75449	1.001948290744701	0.000898854011676109
2458767.7564	1.0014527409600023	0.0008833062749309395
2458767.75826	1.0023353582955792	0.0009692048182268209
2458767.76038	0.9984626224707677	0.0012203297954545
2458767.76224	1.0027478684073363	0.0010075716058159934
2458767.76439	1.000981342223719	0.0011310812568784412
2458767.76624	1.0005052586233605	0.0011732456454808249
2458767.76815	1.001055056586069	0.0008626784924476993
2458767.77023	1.0014639696649172	0.0009489117466150443
2458767.77214	0.9957295180684984	0.001061358297488768
2458767.774	1.0037144994208669	0.0009227767793142938
2458767.77613	1.006298947438459	0.001021986687668841
2458767.77834	1.0025546346284644	0.0008752420051594267
2458767.78025	0.9995713444241473	0.0008763559940112575
2458767.78212	1.0005502305257845	0.0009508590141164008
2458767.78424	0.9982223336383166	0.000843539657810477
2458767.7861	0.9978993368551261	0.0008371751266851302
2458767.78801	0.9998864669680017	0.0008530403336527437
2458767.79009	0.9966938333224693	0.0008694247898646257
2458767.79222	0.9930109988252237	0.0008827413120277017
2458767.79408	0.9929416047899978	0.0008999481737907988
2458767.79599	0.9914449995733284	0.0008475259296736315
2458767.79808	0.9861412950732144	0.000862798787459762
2458767.79999	0.9835907278316786	0.0008655659557282869
2458767.80185	0.9862637177672908	0.0008637969086299213
